Course Code,course_title,course_code,keywords
BHUM216L,Indian Culture and Heritage,BHUM216L : Indian Culture and Heritage,
BHUM217L,Contemporary India,BHUM217L : Contemporary India,
BHUM218L,Financial Management,BHUM218L : Financial Management,
BHUM219L,Principles of Accounting,BHUM219L : Principles of Accounting,
BHUM220L,Financial Markets and Institutions,BHUM220L : Financial Markets and Institutions,
BHUM221L,"Economics of Money , Banking and Financial Markets","BHUM221L : Economics of Money , Banking and Financial Markets",
BHUM222L,Security Analysis and Portfolio Management,BHUM222L : Security Analysis and Portfolio Management,
BHUM223L,"Options , Futures and other Derivatives","BHUM223L : Options , Futures and other Derivatives",
BHUM224L,Fixed Income Securities,BHUM224L : Fixed Income Securities,
BHUM225L,Personal Finance,BHUM225L : Personal Finance,
BHUM226L,Corporate Finance,BHUM226L : Corporate Finance,
BHUM227L,Financial Statement Analysis,BHUM227L : Financial Statement Analysis,
BHUM228L,Cost and Management Accounting,BHUM228L : Cost and Management Accounting,
BHUM229L,"Mind , Embodiment , and Technology","BHUM229L : Mind , Embodiment , and Technology",
BHUM230L,Health Humanities in Biotechnological Era,BHUM230L : Health Humanities in Biotechnological Era,
BSTS301P,Advanced Competitive Coding - l,BSTS301P : Advanced Competitive Coding - l,
BSTS302P,Advanced Competitive Coding - II,BSTS302P : Advanced Competitive Coding - II,
BCHY102N,Environmental Sciences,BCHY102N : Environmental Sciences,
BEVD101N,Introduction to Engineering,BEVD101N : Introduction to Engineering,
BEXC100N,Extracurricular Activities,BEXC100N : Extracurricular Activities,
BHUM101N,Ethics and Values,BHUM101N : Ethics and Values,
BSSC101N,Essence of Traditional Knowledge,BSSC101N : Essence of Traditional Knowledge,
BSSC102N,Indian Constitution,BSSC102N : Indian Constitution,
